Invoice_ID,Order_ID,Quote_ID,Lead_ID,Opp_ID,Account_ID,Product_ID,Product Name,Actual Revenue,Actual Close Date,City,Product Category
IN-728-28922,OP-159-66099,QU-738-84059,LE-605-17249,OP-234-16876,ACC-967-41550,A-4r4833h7,Mark-1,5809,2019-06-13 19:33:00,Dublin,Assembled
IN-654-81025,OP-773-01070,QU-850-04629,LE-964-47666,OP-099-61672,ACC-547-77702,A-4r4833h7,Mark-1,5952,2020-04-09 04:09:00,Tralee,Assembled
IN-995-61920,OP-579-05831,QU-941-74926,LE-890-92447,OP-852-09944,ACC-912-05945,A-4r4833h7,Mark-1,4935,2019-09-29 05:12:00,Balbriggan,Assembled
IN-407-92542,OP-299-82882,QU-195-24131,LE-591-99524,OP-866-61479,ACC-596-06280,A-4r4833h7,Mark-1,5985,2020-04-09 12:09:00,Port Laoise,Assembled
IN-222-66376,OP-894-64893,QU-368-69918,LE-718-28490,OP-749-53985,ACC-916-96835,A-4r4833h7,Mark-1,4434,2019-05-23 20:58:00,Cork,Assembled
IN-458-78197,OP-287-85956,QU-295-36616,LE-572-52604,OP-210-16159,ACC-529-22687,A-4r4833h7,Mark-1,6762,2019-05-20 11:53:00,Galway,Assembled
IN-097-77758,OP-906-24575,QU-690-47123,LE-277-41786,OP-612-28243,ACC-231-08804,A-4r4833h7,Mark-1,8696,2020-01-13 12:30:00,Tralee,Assembled
IN-214-46967,OP-532-88986,QU-866-81852,LE-696-02828,OP-168-29707,ACC-226-74304,A-4r4833h7,Mark-1,8451,2019-08-22 12:34:00,Naas,Assembled
IN-137-03880,OP-679-20069,QU-356-08475,LE-714-47687,OP-117-18235,ACC-285-56367,A-4r4833h7,Mark-1,1381,2019-09-20 03:22:00,Athlone,Assembled
IN-071-64307,OP-445-32805,QU-420-42693,LE-409-52660,OP-359-09196,ACC-017-31269,A-4r4833h7,Mark-1,8617,2019-10-05 19:55:00,Drogheda,Assembled
IN-959-53888,OP-769-52700,QU-139-89808,LE-740-94549,OP-595-50899,ACC-594-41851,A-4r4833h7,Mark-1,10523,2019-12-27 10:59:00,Balbriggan,Assembled
IN-349-28443,OP-863-59227,QU-896-70097,LE-385-22242,OP-723-83796,ACC-752-17821,A-4r4833h7,Mark-1,6709,2019-07-12 11:42:00,Dublin,Assembled
